Team,Points
Man City,86.09915934
Liverpool,76.0856853
Chelsea,74.33482772
Tottenham,72.17080064
Arsenal,71.76292178
Man United,69.16042187
Everton,57.24661703
Leicester,54.91734638
Wolves,53.67744273
Southampton,53.19601046
West Ham,49.26691016
Crystal Palace,46.993994
Bournemouth,44.13712736
Newcastle,43.43090664
Watford,43.01656495
Burnley,41.5851212
Brighton,37.30837201
Cardiff,28.84880144
Fulham,27.50886572
Huddersfield,25.42899209
