"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"69","E0",2013-10-06,"Tottenham","West Ham",0,3,"A",0,0,"D","L Probert"
"70","E0",2013-10-06,"West Brom","Arsenal",1,1,"D",1,0,"H","L Mason"
"71","E0",2013-10-19,"Arsenal","Norwich",4,1,"H",1,0,"H","L Probert"
"72","E0",2013-10-19,"Chelsea","Cardiff",4,1,"H",1,1,"D","A Taylor"
"73","E0",2013-10-19,"Everton","Hull",2,1,"H",1,1,"D","N Swarbrick"
"74","E0",2013-10-19,"Man United","Southampton",1,1,"D",1,0,"H","M Jones"
"75","E0",2013-10-19,"Newcastle","Liverpool",2,2,"D",1,1,"D","A Marriner"
"76","E0",2013-10-19,"Stoke","West Brom",0,0,"D",0,0,"D","H Webb"
"77","E0",2013-10-19,"Swansea","Sunderland",4,0,"H",0,0,"D","C Pawson"
"78","E0",2013-10-19,"West Ham","Man City",1,3,"A",0,1,"A","M Oliver"
"79","E0",2013-10-20,"Aston Villa","Tottenham",0,2,"A",0,1,"A","P Dowd"
"80","E0",2013-10-21,"Crystal Palace","Fulham",1,4,"A",1,2,"A","L Mason"
"81","E0",2013-10-26,"Aston Villa","Everton",0,2,"A",0,0,"D","A Taylor"
"82","E0",2013-10-26,"Crystal Palace","Arsenal",0,2,"A",0,0,"D","C Foy"
"83","E0",2013-10-26,"Liverpool","West Brom",4,1,"H",2,0,"H","J Moss"
"84","E0",2013-10-26,"Man United","Stoke",3,2,"H",1,2,"A","L Mason"
"85","E0",2013-10-26,"Norwich","Cardiff",0,0,"D",0,0,"D","M Jones"
"86","E0",2013-10-26,"Southampton","Fulham",2,0,"H",2,0,"H","A Marriner"
"87","E0",2013-10-27,"Chelsea","Man City",2,1,"H",1,0,"H","H Webb"
"88","E0",2013-10-27,"Sunderland","Newcastle",2,1,"H",1,0,"H","L Probert"
"89","E0",2013-10-27,"Swansea","West Ham",0,0,"D",0,0,"D","P Dowd"
"90","E0",2013-10-27,"Tottenham","Hull",1,0,"H",0,0,"D","M Oliver"
"91","E0",2013-11-02,"Arsenal","Liverpool",2,0,"H",1,0,"H","M Atkinson"
"92","E0",2013-11-02,"Fulham","Man United",1,3,"A",0,3,"A","L Probert"
"93","E0",2013-11-02,"Hull","Sunderland",1,0,"H",1,0,"H","A Marriner"
"94","E0",2013-11-02,"Man City","Norwich",7,0,"H",4,0,"H","P Dowd"
"95","E0",2013-11-02,"Newcastle","Chelsea",2,0,"H",0,0,"D","L Mason"
"96","E0",2013-11-02,"Stoke","Southampton",1,1,"D",1,1,"D","C Foy"
